crop_soil_id,soil_id,district,crop_name,crop_local_name,crop_category,crop_season,popularity_rank_district,suitability_score_0_to_10,yield_potential_t_ha_min,yield_potential_t_ha_max,yield_potential_t_ha_mean,ph_optimum_min,ph_optimum_max,ph_tolerance_min,ph_tolerance_max,N_requirement_kg_ha,P_requirement_kg_ha,K_requirement_kg_ha,water_requirement_mm_season,temperature_optimum_min_c,temperature_optimum_max_c,flood_tolerance,drought_tolerance,salinity_tolerance,key_limiting_factor,recommended_fertiliser_kg_ha,recommended_amendment,cropping_system_position,notes
CS001,SMS001,Samastipur,Rice (Paddy),Dhan,Cereal — Kharif,Kharif,1,9.5,3.0,5.5,4.5,6.0,7.5,5.5,9.0,120,35,33,1200,20,35,High,Low,Low,Low P and OC; annual flood renews fertility,N:120 P:35 K:33,Compost 5t/ha to improve OC,Primary Kharif,Khadar soil is ideal — flood-renewed silt restores nutrients annually; rice-wheat dominant rotation
CS002,SMS001,Samastipur,Wheat,Gehu,Cereal — Rabi,Rabi,2,9.0,2.5,4.5,3.8,6.0,7.5,5.5,8.5,120,60,40,450,10,25,Low,Moderate,Low,Low P; alkaline pH reduces P uptake,N:120 P:60 K:40,Zinc sulphate 25 kg/ha for Zn deficiency,Primary Rabi,Rice-wheat rotation dominates; ~30% area under wheat in Zone I districts
CS003,SMS001,Samastipur,Maize,Makka,Cereal — Kharif/Zaid,Kharif,3,7.5,2.5,4.5,3.5,5.8,7.0,5.0,8.0,120,60,40,600,18,32,Moderate,Moderate,Low,Temperature negatively correlated (time-series Samastipur 1998-2019); pH slightly high,N:120 P:60 K:40,Gypsum for pH correction,Secondary Kharif,Annual rainfall positively correlated; max temp negatively impacts maize yield (Samastipur study)
CS004,SMS001,Samastipur,Potato,Aloo,Vegetable — Rabi,Rabi,4,8.5,15.0,30.0,22.0,5.0,6.5,5.0,7.5,120,80,80,500,10,20,Low,Low,Low,pH slightly high for potato (prefers 5.0-6.5); needs well-drained plots,N:120 P:80 K:80,Sulphur 20kg/ha; acidifying amendment,Secondary Rabi,Samastipur major potato producer — 650k quintal cold storage; >20 cold storage units
CS005,SMS001,Samastipur,Sugarcane,Ganna,Cash Crop — Annual,Annual,5,8.0,50.0,90.0,68.0,6.0,8.0,5.5,8.5,250,80,120,1500,20,35,Moderate,Low,Moderate,Needs high N and water; calcareous patches limit P,N:250 P:80 K:120,Compost 10t/ha; P super-granules for calcareous soil,Cash Crop,Samastipur has 20+ sugar mills; major player in state sugar production
CS006,SMS001,Samastipur,Litchi,Litchi,Fruit — Perennial,Perennial,6,8.0,5.0,12.0,8.0,5.5,7.0,5.0,8.0,80,40,80,1000,15,35,Low,Low,Low,pH needs management; alkaline khadar suboptimal without amendment,N:80 P:40 K:80,Organic mulch; pH reduction with sulphur,Perennial Horticulture,North Bihar — Samastipur top litchi potential; Organic Corridor push
CS007,SMS001,Samastipur,Tobacco,Tambaku,Cash Crop — Kharif/Rabi,Rabi,7,7.0,0.8,1.5,1.1,5.5,7.5,5.0,8.5,80,40,120,400,15,28,Low,Moderate,Moderate,Calcareous soil reduces yield quality; old traditional crop,N:80 P:40 K:120,Lime management for calcareous patches,Cash Crop,Traditional crop in Samastipur; calcareous soil patches support moderate yield
CS008,SMS001,Samastipur,Jute,Paat,Fibre — Kharif,Kharif,8,7.5,1.5,3.0,2.2,6.0,7.5,5.5,8.5,80,30,30,800,24,35,High,Low,Low,Needs warm humid conditions; slightly alkaline soil manageable,N:80 P:30 K:30,None needed beyond standard NPK,Primary Fibre Kharif,Rameshwar Jute Mill Muktapur employs ~5000 people; flood-tolerant
CS009,SMS002,Samastipur,Sugarcane,Ganna,Cash Crop — Annual,Annual,1,8.5,55.0,95.0,72.0,6.0,8.0,5.5,8.8,250,80,120,1500,20,35,Moderate,Low,Moderate,High CaCO3 limits micronutrient uptake; alkaline pH manageable,N:250 P:80 K:120,Compost 10t/ha; FeSO4 for Fe deficiency,Primary on Calcareous,Calcareous alluvial best for sugarcane of all Bihar soils
CS010,SMS002,Samastipur,Tobacco,Tambaku,Cash Crop,Rabi,2,8.0,0.8,1.5,1.1,5.5,7.5,5.0,8.5,80,40,120,400,15,28,Low,Moderate,Moderate,Manage CaCO3 alkalinity,N:80 P:40 K:120,Acidifying fertilisers,Secondary Cash,Traditional on calcareous patches
CS011,SMS002,Samastipur,Wheat,Gehu,Cereal,Rabi,3,7.5,2.0,4.0,3.2,6.0,7.5,5.5,8.5,100,50,40,400,10,25,Low,Moderate,Low,Strongly alkaline — reduces P and micronutrient availability,N:100 P:50 K:40,Zinc sulphate 25kg/ha; compost 5t/ha,Rabi Cereal,Yield lower than on khadar due to alkalinity
CS012,SMS004,Samastipur,Rice (Paddy),Dhan,Cereal — Kharif,Kharif,1,9.0,2.5,4.5,3.5,6.0,7.5,5.5,8.2,120,35,33,1200,20,35,High,Low,Low,Very low P is critical limiting factor,N:120 P:35 K:33,Rock phosphate or TSP basal; compost,Primary Kharif,Tal soil = natural paddy environment; waterlogging not a risk here
CS013,SMS004,Samastipur,Pulses (Lentil / Khesari),Masoor / Khesari,Pulse — Rabi,Rabi (paira),2,8.0,0.5,1.2,0.8,6.0,8.0,5.5,8.5,20,40,20,300,10,25,Moderate,Moderate,Low,Very low P is the main gap; Tal soils are pulse basket of Bihar,N:20 P:40 K:20,TSP 40 kg/ha,Paira Relay Crop,Tal soil called "Pulse basket of Bihar"; relay after rice
CS014,NLD001,Nalanda,Rice (Paddy),Dhan,Cereal — Kharif,Kharif,1,9.0,2.5,5.0,4.0,6.0,7.5,5.5,8.0,120,35,33,1100,20,35,Moderate,Low,Low,Needs irrigation (not flood-renewed); old alluvium compact,N:120 P:35 K:33,Compost 5t/ha; Zn sulphate 25kg/ha,Primary Kharif,Primary crop; double/triple cropping common in Nalanda; intensive cultivation
CS015,NLD001,Nalanda,Wheat,Gehu,Cereal — Rabi,Rabi,2,9.5,3.0,5.5,4.5,6.0,7.5,5.5,8.0,120,60,40,450,10,25,Low,Moderate,Low,Needs irrigation; K lower than Samastipur — supplement needed,N:120 P:60 K:40,Zinc sulphate 25kg/ha; FYM 10t/ha,Primary Rabi,Bhangar old alluvial is classic wheat soil; highest suitability for wheat in Nalanda
CS016,NLD001,Nalanda,Potato,Aloo,Vegetable — Rabi,Rabi,3,9.5,18.0,32.0,26.0,5.0,6.5,4.5,7.5,150,100,100,500,10,20,Low,Low,Low,pH slightly high; well-drained bhangar is excellent for potato,N:150 P:100 K:100,Sulphur 20kg/ha; NPK as above,Primary Rabi Vegetable,Nalanda extensive vegetable production; 4th largest vegetable producer in Bihar
